# f values, inverse mfp
0.000000000000000000e+00 1.030297176341801318e-01
1.000000000000000021e-03 7.137226317369381456e-02
2.000000000000000042e-03 7.255543441518835790e-02
4.000000000000000083e-03 1.111120614116363203e-01
1.000000000000000021e-02 7.951992074408538447e-02
2.000000000000000042e-02 1.693611008372853388e-01
3.500000000000000333e-02 1.947380035423856015e-01
5.999999999999999778e-02 2.562115071592546145e-01
1.000000000000000021e-02 1.681679003770630565e-01
1.650000000000000078e-01 3.942435470650552665e-01
2.500000000000000000e-01 4.107847683737168021e-01
4.000000000000000222e-01 4.895690155370767127e-01
5.999999999999999778e-01 5.822680738921475196e-01
8.000000000000000444e-01 6.243689887879273481e-01
1.000000000000000000e+00 8.466526085199764795e-01
